"dayNum" "numHosp"
"1" 81 99
"2" 82 120
"3" 83 132
"4" 84 162
"5" 85 182
"6" 86 190
"7" 87 181
"8" 88 233
"9" 89 224
"10" 90 226
"11" 91 257
"12" 92 259
"13" 93 271
"14" 94 251
"15" 95 262
"16" 96 259
"17" 97 238
"18" 98 193
"19" 99 212
"20" 100 202
"21" 101 215
"22" 102 204
"23" 103 185
"24" 104 179
"25" 105 166
"26" 106 153
"27" 107 159
"28" 108 158
"29" 109 148
"30" 110 125
"31" 111 140
"32" 112 133
"33" 113 108
"34" 114 120
"35" 115 109
"36" 116 95
"37" 117 94
"38" 118 80
"39" 119 84
"40" 120 73
"41" 121 70
"42" 122 89
"43" 123 78
"44" 124 62
"45" 125 84
"46" 126 67
"47" 127 65
"48" 128 83
"49" 129 87
"50" 130 94
"51" 131 100
"52" 132 114
"53" 133 135
"54" 134 125
"55" 135 133
"56" 136 141
"57" 137 157
"58" 138 160
"59" 139 185
"60" 140 223
"61" 141 197
"62" 142 214
"63" 143 231
"64" 144 244
"65" 145 258
"66" 146 266
"67" 147 270
"68" 148 240
"69" 149 260
"70" 150 229
"71" 151 245
"72" 152 225
"73" 153 228
"74" 154 214
"75" 155 187
"76" 156 186
"77" 157 185
"78" 158 148
"79" 159 196
"80" 160 162
"81" 161 135
"82" 162 150
"83" 163 125
"84" 164 132
"85" 165 113
"86" 166 107
"87" 167 97
"88" 168 116
"89" 169 103
"90" 170 62
"91" 171 77
"92" 172 86
"93" 173 81
"94" 174 86
"95" 175 82
"96" 176 79
"97" 177 70
"98" 178 77
"99" 179 85
"100" 180 78
"101" 181 74
"102" 182 64
"103" 183 81
"104" 184 90
"105" 185 100
"106" 186 88
"107" 187 101
"108" 188 110
"109" 189 100
"110" 190 106
"111" 191 102
"112" 192 119
"113" 193 132
"114" 194 139
"115" 195 167
"116" 196 132
"117" 197 163
"118" 198 190
"119" 199 161
"120" 200 233
